"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","wp_page_template","post_format","comment_status","ping_status","pinged","post_parent","menu_order","era_ecoregion_to_come_under_the_title","era_ecoregion_know_more_link","pods_caption","pods_alt_text","pods_description","pods_file_name","pods_title","et_enqueued_post_fonts","title","meta_desc","meta-robots-noindex","meta-robots-nofollow","meta-robots-adv","bctitle","canonical","redirect","opengraph-title","opengraph-description","opengraph-image","twitter-title","twitter-description","twitter-image","google-plus-title","google-plus-description","google-plus-image","focus_keyword","schema_page_type","schema_article_type","cornerstone-content","focuskeywords","keywordsynonyms"
"Lower Gangetic Plains moist deciduous forests","5552","This floodplain ecoregion lies along the confluence of the Ganges and Brahmaputra. The climate is tropical and highly seasonal. The southwest monsoon brings more than 3,500 mm of rainfall between June and September. Frequent cyclones in the Bay of Bengal cause widespread floods. The vegetation is semi-deciduous. The trees that form the canopy includes several deciduous trees that lose their leaves during the dry season, but the lower, understory trees stay evergreen. Tall red silk cotton trees <em>Bombax ceiba</em> dominate the open forests. But mature forests are dominated by sal <em>Shorea robusta</em> trees. Riparian forests are characterized by <em>Acacia catechu</em> and <em>Dalbergia sissoo</em>, with scattered silk cotton trees.",,"2022-07-11 14:25:50","lower-gangetic-plains-moist-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/lower-gangetic-plains-moist-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/lower-gangetic-plains-moist-deciduous-forests/</a>",,,,,,,"Lower Gangetic Plains moist deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"Maldives-Lakshadweep-Chagos Archipelago tropical moist forests","5553","This ecoregion represents three island groups with the most extensive coral reef and atoll community in the Indian Ocean. Within India, the ecoregion spans the Lakshadweep, which comprises of 36 small islands scattered across 78,000 km² but with only 32 km² of land area. It has tropical monsoonal climate, with moderate temperatures (24° - 30°C) and about 1600 mm annual rainfall between April and October. The natural vegetation is tropical forest and shrub. The latter consists of hardy salt- and drought-resistant bushes and sedges in the family Cyperaceae. Beach cabbage, <em>Scaevola sericea</em> and <em>Pemphis acidula</em> line the beaches, with less salt tolerant trees such as <em>Cordia subcordata, Hibiscus tiliaceus, Premna obtusifolia, Hernandia nymphaeifolia,</em> and <em>Terminalia catappa</em> further inland.",,"2022-07-11 14:25:50","maldives-lakshadweep-chagos-archipelago-tropical-moist-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/maldives-lakshadweep-chagos-archipelago-tropical-moist-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/maldives-lakshadweep-chagos-archipelago-tropical-moist-forests/</a>",,,,,,,"Maldives-Lakshadweep-Chagos Archipelago tropical moist forests",,,,,,,,,,,,,,,,,,,,,,
"Meghalaya subtropical forests","5554","The ecoregion represents the subtropical forests of the Khasi and Garo hills of Meghalaya, one of the wettest and botanically richest regions in Asia. The hills rise to about 1800 m and receive most rain during the southwest monsoon, with clouds and mist. The characteristic forest tree genera are <em>Bischofia, Mesua, Castonopsis, Pterospermum,</em> and <em>Acrocarpus</em> in the wetter areas, transitioning into <em>Elaeocarpus, Dillenia, Terminalia, Tetrameles,</em> and <em>Schima</em> in drier areas. The hill tops have patches of grasslands and temperate forests with<em> Lithocarpus, Castanopsis,</em> and <em>Quercus</em> trees. Mature forests have a dense undergrowth of bamboos and canes, and the trees are draped with lianas and festooned with epiphytes. A centre of plant endemism with high animal diversity.",,"2022-07-11 14:25:51","meghalaya-subtropical-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/meghalaya-subtropical-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/meghalaya-subtropical-forests/</a>",,,,,,,"Meghalaya subtropical forests",,,,,,,,,,,,,,,,,,,,,,
"Mizoram-Manipur-Kachin rainforests","5555","This ecoregion includes hill ranges of Mizoram and parts of Tripura, Assam, Manipur, Nagaland, and Arunachal Pradesh falls within the Indo-Burma biodiversity hotspot. The climate is seasonal. The southwest monsoons brings most rainfall, exceeding 2,000 mm annually in parts. The dominant tree species are species of<em> Dipterocarpus, Parashorea, Hopea, Shorea, Swintonia, Bombax, Albizia</em> and <em>Castanopsis</em>. The dense understory includes smaller evergreen trees and bamboos. Bamboo dominates some areas in monotypic stands. It has high plant richness due to elements of Indian, Indo-Malayan, and Indo-Chinese biotas. Bird species richness is high and the ecoregion is home to endangered species such as clouded leopards and hoolock gibbons.",,"2022-07-11 14:25:51","mizoram-manipur-kachin-rainforests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/mizoram-manipur-kachin-rainforests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/mizoram-manipur-kachin-rainforests/</a>",,,,,,,"Mizoram-Manipur-Kachin rainforests",,,,,,,,,,,,,,,,,,,,,,
"Narmada Valley dry deciduous forests","5556","The ecoregion represents the dry forests along the Narmada River Valley, and is geologically of Gondwanan origin. The climate is mildly seasonal. The 7-8 month dry season is interrupted by the southwest monsoon from June to September, which brings about 1,200 to 1,500 mm of rainfall. Temperatures can range from around 17 – 20ºC in the winter to 30 – 33ºC in the summers. The forests are dominated by teak. Other common trees include species of <em>Diospyros, Lagerstroemia, Terminalia,</em> and <em>Hardwickia</em>. The riparian trees along the river banks are different, comprising of <em>Terminalia arjuna, Syzygium spp</em>. and <em>Salix spp</em>. (Indian willow).",,"2022-07-11 14:25:53","narmada-valley-dry-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/narmada-valley-dry-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/narmada-valley-dry-deciduous-forests/</a>",,,,,,,"Narmada Valley dry deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"Nicobar Islands rainforests","5557","This ecoregion represents the cluster of Nicobar Islands, considered volcanic in origin, and floristically more similar to flora of Malaysia-Indonesia than to the Andamans. The tropical climate has temperatures ranging from 24ºC to 31ºC with 80% humidity. The southwest monsoon brings 3,000–3,800 mm of rainfall, with frequent cyclones and thunderstorms. The only perennial rivers are found on the largest island, the 1,044 km² Great Nicobar Island. The forest trees include <em>Pterocarpus dalbergioides, Dipterocarpus spp., Terminalia procera, T. bialata, T. manni, Diospyros marmorata, Sageraea elliptica,</em> and <em>Artocarpus chaplasha.</em> The 27 km² of mangroves consist of <em>Rhizophora mucronata, Bruguiera conjugata, Avicennia officinalis, Ceriops tagal,</em> and <em>Excoecaria spp.</em> Island-interior grasslands, possibly anthropogenic, have<em> Imperata cylindrica, Saccharum spontaneum,</em> and <em>Chrysopogon aciculatus</em>.",,"2022-07-11 14:25:53","nicobar-islands-rainforests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/nicobar-islands-rainforests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/nicobar-islands-rainforests/</a>",,,,,,,"Nicobar Islands rainforests",,,,,,,,,,,,,,,,,,,,,,
"North Tibetan Plateau-Kunlun Mountains alpine desert","5558","The vegetation of this ecoregion is a cold desert steppe, only productive for a few months a year, but supporting populations of ungulates, small mammals, and their predators. Occurring in the high elevations of north-eastern part of Ladakh, the area is windy, with mean temperatures below freezing for nine months a year, and harsh temperatures. Precipitation is scant, about 20–50 mm a year, as snow, which sublimates quickly in the intense sunlight. Soils are saline, soaked with water in summer, frozen in winter, and lie atop permafrost. Plant cover is sparse, and below 5,200 m elevation, the vegetation is represented by <em>Carex</em> sedges and compact, tufted forbs in the amaranth and mustard families.",,"2022-07-11 14:25:53","north-tibetan-plateau-kunlun-mountains-alpine-desert","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/north-tibetan-plateau-kunlun-mountains-alpine-desert/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/north-tibetan-plateau-kunlun-mountains-alpine-desert/</a>",,,,,,,"North Tibetan Plateau-Kunlun Mountains alpine desert",,,,,,,,,,,,,,,,,,,,,,
"Northeast India-Myanmar pine forests","5559","This ecoregion represents pine forests distributed in three isolated patches of 9,600 km² at elevations between 1,500 and 2,500 m in the Naga Hills, between India and Myanmar. At lower elevations, Tenasserim pine dominates, usually in association with broadleaf trees such as species of Dipterocarpus. In higher elevations, the Tenasserim pine trees are replaced by Khasi pine and blue pine, usually in association with hemlock and spruce, mixed with broadleaf trees such as maples, oaks, and rhododendrons. The forest undergrowth is sparse but for a few herbaceous plants such as <em>Anemone, Crotalaria,</em> and <em>Desmodium</em>. Many orchids grow on the trunks of mature pine trees, including species of <em>Bulbophyllum, Cleisostoma, Coelogyne, Cymbidium, Dendrobium</em>, and <em>Vanda</em>.",,"2022-07-11 14:25:53","northeast-india-myanmar-pine-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/northeast-india-myanmar-pine-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/northeast-india-myanmar-pine-forests/</a>",,,,,,,"Northeast India-Myanmar pine forests",,,,,,,,,,,,,,,,,,,,,,
"Northeast Himalayan subalpine conifer forests","5560","This ecoregion occupies the slopes of the deep Zangbo Gorge at elevations of 2,500 – 4,200 m.? It has extensive forest cover on steep landscape with intense monsoon, but low human use. Blue pine, hemlock, spruce, and fir dominate with increasing elevation in the subalpine conifer forest belt, associated with a lower tier of deciduous broadleaf trees in places. Juniper grow as trees to about 4,000 m. Himalayan birch is the most abundant, but maple, mountain ash, and other northern temperate taxa also occur. Many of the 60-odd rhododendron species from this region are associated with the subalpine forest, growing as shrubs or trees.? A rich assemblage of lichens and epiphytic mosses occur in the forest canopy.",,"2022-07-11 14:25:54","northeast-himalayan-subalpine-conifer-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/northeastern-himalayan-subalpine-conifer-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/northeastern-himalayan-subalpine-conifer-forests/</a>",,,,,,"Mulish:200,300,regular,500,600,700,800,900,200italic,300italic,italic,500italic,600italic,700italic,800italic,900italic","Northeast Himalayan subalpine conifer forests",,,,,,,,,,,,,,,,,,,,,,
"North Deccan dry deciduous forests","5561","The ecoregion represents a narrow band of dry forests in the rain shadow of the Eastern Ghats ranges and surrounded by the Eastern Highlands Moist Deciduous Forests ecoregion. This ecoregion extends across Bihar, Orissa, and Madhya Pradesh, and represents the northern extent of dry deciduous forests in India. The forest types are composed of assemblages dominated by S<em>horea, Buchanania, Cleistanthus,</em> and <em>Croton,</em> all of them trees that can grow in arid environments. In some areas, the original Sal, or <em>Shorea robusta,</em> has been replaced by another drought-tolerant high-value timber species, teak, <em>Tectona grandis</em>. Patches of cane, <em>Dendrocalamus strictus</em>, grow in small, isolated moister areas.",,"2022-07-11 14:25:56","north-deccan-dry-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/north-deccan-dry-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/north-deccan-dry-deciduous-forests/</a>",,,,,,,"North Deccan dry deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"Northern Triangle temperate forests","5562","This ecoregion represents a relatively narrow band of temperate forests in northern Myanmar’s mountains, bordering Namdapha in India. As a biogeographic ecotone of the Assam-Indian, Eastern Himalayan, Indo-Malayan, and Chinese floral regions, this ecoregion has high species richness. The temperate forests between 1,830 and 2,700 m are characterized by species such as <em>Alnus nepalensis, Betula cylindrostachya, Bucklandia populnea</em>, and species of Castanopsis, Schima, and Michelia. At higher elevations, the forests transition into a mix of broadleaf and conifers, with species of <em>Quercus, Magnolia, Acer, Prunus,</em> and <em>Rhododendron</em> along with <em>Picea, Tsuga, Larix,</em> and<em> Taiwania cryptomerioides.</em> Shrubs include species of <em>Berberis, Clethra, Enkianthus, Euonymus, Hydrangea, Photinia, Rhododendron, Rubus</em>, and <em>Sorbus</em>.",,"2022-07-11 14:25:56","northern-triangle-temperate-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/northern-triangle-temperate-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/northern-triangle-temperate-forests/</a>",,,,,,,"Northern Triangle temperate forests",,,,,,,,,,,,,,,,,,,,,,
"Northwestern Himalayan alpine shrub and meadows","5563","This ecoregion in Jammu and Kashmir, where northwestern India, northeastern Pakistan, and southwestern China intersect, is one of the last remaining cold desert wilderness areas. In late spring the meadows explode briefly in a colorful tapestry of delphinium, gentian, poppy, roseroot, lousewort, anemone, and aster flowers. The ecoregion represents a narrow band of alpine scrub and meadows between 3,300 and 3,600 m, especially in the Kashmir Valley. The shrub vegetation consists of stunted, twisted Rhododendron and juniper scrub, deformed by the cold unrelenting wind, and known as ‘krummholz’. It has near-evergreen scrub of stunted birch and Rhododendron, meadows with diverse herb and grass community, and bare scree habitats with cushion-forming plants such as <em>Caragana, Saxifraga</em>, and <em>Draba</em>.",,"2022-07-11 14:25:56","northwestern-himalayan-alpine-shrub-and-meadows","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/northwestern-himalayan-alpine-shrub-and-meadows/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/northwestern-himalayan-alpine-shrub-and-meadows/</a>",,,,,,,"Northwestern Himalayan alpine shrub and meadows",,,,,,,,,,,,,,,,,,,,,,
"Aravalli west thorn scrub forests","5564","This ecoregion occurs in northwestern India, along the Aravalli Mountains (formed over 1,500 million years ago). The stunted, xerophytic (adapted to dryness) vegetation, dominated by species of Acacia (&lt; 6 m in height), includes trees and shrubs such as <em>Prosopis cineraria, Grewia, Salvadora, Zizyphus, Anogeissus, Gardenia, Capparis,</em> and <em>Carissa</em>. Climbers such as <em>Tragia, Rivea, Tinospora, Vitis</em>, and <em>Peristrophe</em> also occur. The thorn forests transition in drier areas into cactus-like Euphorbia scrub. Near the coast where soils are more saline <em>Salvadora</em> and <em>Tamarix</em> occur, while areas with very high salinity lack vegetation. Climatically, the region is dry, with an average annual rainfall of about 750 mm in the northern areas and about 950 mm further south.",,"2022-07-11 14:25:56","aravalli-west-thorn-scrub-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/aravalli-west-thorn-scrub-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/aravalli-west-thorn-scrub-forests/</a>",,,,,,,"Aravalli west thorn scrub forests",,,,,,,,,,,,,,,,,,,,,,
"Orissa semi-evergreen forests","5565","Like all other ecoregions of the Deccan Plateau, the flora and fauna of the Orissa Semi-Evergreen ecoregion has an ancient geological lineage with Gondwanaland origins, but now represents the forests along the low hills in the northeastern Indian State of Orissa. Five distinct vegetation forms are recognizable based on the dominant tree species. All of them are represented by Sal, or <em>Shorea robusta</em>, The ‘typical’ tree community of these forests include species of <em>Artocarpus, Michelia, Bridelia, Ficus</em>, and <em>Mangifera</em>. Patches of canebrakes and bamboo brakes break up the homogeneity of the forests.",,"2022-07-11 14:25:57","orissa-semi-evergreen-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/orissa-semi-evergreen-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/orissa-semi-evergreen-forests/</a>",,,,,,,"Orissa semi-evergreen forests",,,,,,,,,,,,,,,,,,,,,,
"Pamir alpine desert and tundra","5566","This ecoregion includes broad valleys and steeply rolling hills with an ecological and physiographic similarity to the Tibetan Plateau. The areas are instead situated at a mean elevation of about 4,200 m, substantially lower (and warmer) than the high basins of northwestern Tibet. Several cold-desert plant associations have been identified for the Pamir region, including low, branching shrubs, cushion plants, dense turf-forming grasses, and Kobresia sedge barrens. Some key species are <em>Rhodiola, Saussurea, Tanacetum</em>, and <em>Saxifraga</em>.",,"2022-07-11 14:25:59","pamir-alpine-desert-and-tundra","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/pamir-alpine-desert-and-tundra/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/pamir-alpine-desert-and-tundra/</a>",,,,,,,"Pamir alpine desert and tundra",,,,,,,,,,,,,,,,,,,,,,
"Rann of Kutch seasonal salt marsh","5567","This ecoregion represents the saline wetlands and mudflats at the mouth of the Luni River that flows down from the Aravalli Hills in northwestern India. Most of the ecoregion lies within Gujarat in India. The vegetation of the Great and Little Ranns—‘Rann’ meaning desert in Hindi—consists of grasses, thorny xerophytic scrub and short tangled trees. Sedges, dominated by species of <em>Cyperus</em> and <em>Scirpus</em>, emerge from the flooded areas. The surrounding areas have small perennial shrubs and mat-forming plants, such as <em>Cressa cretica</em> and <em>Aeluropus lagopoides</em>, the latter known as mangrove grass. The vegetation in the bets (sandy, high-ground areas) have halophytic, or salt-loving, shrubby seablights such as <em>Suaeda fruticosa</em> and <em>S. nudiflora</em>.",,"2022-07-11 14:26:00","rann-of-kutch-seasonal-salt-marsh","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/rann-of-kutch-seasonal-salt-marsh/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/rann-of-kutch-seasonal-salt-marsh/</a>",,,,,,,"Rann of Kutch seasonal salt marsh",,,,,,,,,,,,,,,,,,,,,,
"Sundarbans freshwater swamp forests","5568","This almost extinct ecoregion, intensely exploited, cultivated and built over with dense human populations is in the vast delta formed by the confluence of several of South Asia’s largest rivers. It includes swamp forests surrounding the Sundarbans Mangroves, in the zone where the freshwater from the rivers push back the saline waters of the intruding ocean. This ecoregion also straddles the political boundary between Bangladesh and India’s state of West Bengal. Forest and habitat loss are so extensive that it is difficult to ascertain the composition of the original vegetation of this ecoregion. Historical records suggest that the forests used to have mangrove tree species of <em>Heritiera, Xylocarpus, Bruguiera, Avicennia,</em> and <em>Sonneratia</em>.",,"2022-07-11 14:26:00","sundarbans-freshwater-swamp-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/sundarbans-freshwater-swamp-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/sundarbans-freshwater-swamp-forests/</a>",,,,,,,"Sundarbans freshwater swamp forests",,,,,,,,,,,,,,,,,,,,,,
"Sundarbans mangroves","5569","This ecoregion lies in a vast delta spanning over 10,000 sq km formed by the confluence of the Ganga, Hooghly, Padma, Brahmaputra, and Meghna. Strong monsoons from the Bay of Bengal bring heavy rains and devastating cyclones that cause widespread destruction. Annual rainfall exceeds 3,500 mm, and monsoon daytime temperatures can reach a stifling 48°C. The mangroves are not as diverse as other forest types but have a dense canopy and an undergrowth of seedlings and saplings of the canopy trees. While the tree community is dominated by <em>Heritiera</em>, other mangrove trees include species of <em>Avicennia, Xylocarpus, Sonneratia, Bruguiera, Cereops, Aegicera,</em> and <em>Rhizophora.</em> Nipa, a palm adapted to estuaries and mangroves, line the channels.",,"2022-07-11 14:26:00","sundarbans-mangroves","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/sundarbans-mangroves/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/sundarbans-mangroves/</a>",,,,,,,"Sundarbans mangroves",,,,,,,,,,,,,,,,,,,,,,
"Terai-Duar savanna and grasslands","5570","This ecoregion at the base of the Himalaya supports the world's tallest grasslands from northwest India across to Assam. Key vegetation features are the savannas and tall grasslands (with species like <em>Saccharum spontaneum, S. bengalense, Themeda arundinacea</em>) in a mosaic of evergreen and deciduous broadleaf forests with trees such as sal <em>Shorea robusta, Trewia nudiflora,</em> and <em>Bombax ceiba</em>, corresponding to different moisture conditions. Hot, humid, and wet during the summer monsoon, with temperatures reaching 40ºC, the climate is cooler in the winter, with morning ground frost and fogs. Annual monsoon floods are crucial for maintaining the grasslands, because it clears and flushes the floodplain of encroaching trees, deposits a layer of sand and silt (alluvium) and allows grasses to regenerate.",,"2022-07-11 14:26:00","terai-duar-savanna-and-grasslands","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/terai-duar-savanna-and-grasslands/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/terai-duar-savanna-and-grasslands/</a>",,,,,,,"Terai-Duar savanna and grasslands",,,,,,,,,,,,,,,,,,,,,,
"Thar desert","5571","The Thar Desert ecoregion lies to the west of the Aravalli Mountain Range in the northwestern Indian States of Gujarat, Rajasthan, extending across the border to the Punjab and Sind regions of Pakistan. It is considered to be the 9th largest subtropical desert. The climate is extreme: winter temperatures approach freezing, while summer temperatures soar over 50°C. Rainfall is limited to 100-500 mm from July to September but is very variable. About a tenth of the ecoregion are sand dunes, while the rest is craggy rock formations and compacted salt-lake bottoms. Vegetation has plants adapted to arid conditions including trees and shrubs like Khejri <em>Prosopis cineraria, Balanites roxburghii, Capparis decidua, Euphorbia caducifolia,</em> and <em>Leptadenia pyrotechnica,</em> besides herbs and grasses.",,"2022-07-11 14:26:03","thar-desert","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/thar-desert/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/thar-desert/</a>",,,,,,,"Thar desert",,,,,,,,,,,,,,,,,,,,,,
"Upper Gangetic Plains moist deciduous forests","5572","This ecoregion in the fertile alluvial plains of the River Ganga is densely populated, extensively cleared, and cultivated. The Ganges flows east to join the Brahmaputra with hardly any topographic relief, except for sloping banks and ravines carved by the river. The substrate consists of deep alluvial soils and deposited on the floodplain. The remaining scattered forest fragments suggest that the forests were once dominated by Sal <em>Shorea robusta</em>, in association with <em>Terminalia, Lagerstroemia, Adina, Dillenia,</em> and <em>Ficus</em>, as in ‘typical’ deciduous forests in this sub-Himalayan region. Patches of grasslands dominated by tall <em>Saccharum</em> grasses, wild sugar cane, could be found where the floodwaters prevented trees from taking hold. Natural forest remains in the Rajaji, Corbett, and Dudwa national parks.",,"2022-07-11 14:26:04","upper-gangetic-plains-moist-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/upper-gangetic-plains-moist-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/upper-gangetic-plains-moist-deciduous-forests/</a>",,,,,,,"Upper Gangetic Plains moist deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"Western Himalayan alpine shrub and meadows","5573","This ecoregion represents the alpine meadows and shrublands between 3,000 and 5,000 m in the western Himalaya, mainly in Himachal Pradesh and Uttarakhand. A fourth of this ecoregion is bare rock and ice on high peaks. The alpine shrubby flora is dominated by colourful, dwarf rhododendrons, while the meadows have a rich herbaceous community of <em>Anaphalis, Aster, Cynanthus, Jurinea, Morina, Potentilla, Gentiana, Delphinium, Gentiana, Meconopsis, Pedicularis, Anemone, Polygonum, Primula,</em> and <em>Saussurea</em>. Willows line the montane streams. The ecoregion contains several hotspots of floral diversity and endemism, notably the Valley of Flowers, Nanda Devi, Tinker Valley, Dhorpatan, and Annapurna. Eleven reserves, including Shey-Phuksundo, Annapurna, Kedarnath, Nanda Devi, and Dhorpatan, cover about 25% of the ecoregion area.",,"2022-07-11 14:26:04","western-himalayan-alpine-shrub-and-meadows","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/western-himalayan-alpine-shrub-and-meadows/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/western-himalayan-alpine-shrub-and-meadows/</a>",,,,,,,"Western Himalayan alpine shrub and meadows",,,,,,,,,,,,,,,,,,,,,,
"Western Himalayan broadleaf forests","5574","This ecoregion is a narrow band between 1,500 and 2,600 m, starting from the Kali Gandaki River gorge in Central Nepal through northwestern India into Pakistan. An important zone for altitudinal migrants. The ecoregion has two distinct forest types. The evergreen broad-leaved forests are dominated by oaks—<em>Quercus semecarpifolia, Q. dilatata, Q. lamellosa,</em> and <em>Q. incana</em>—that grow on the moister southern slopes, more influenced by the monsoon. The oak forests on drier and higher slopes are mixed with various conifers, such as fir, abies, spruce, cedar, and pines, with a bamboo understory of <em>Arundinaria</em> species. The deciduous broadleaf forests are composed of walnut, Himalayan horse chestnut, alder, maple, Himalayan poplar, Himalayan elm, and Turkish hazel.",,"2022-07-11 14:26:04","western-himalayan-broadleaf-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/western-himalayan-broadleaf-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/western-himalayan-broadleaf-forests/</a>",,,,,,,"Western Himalayan broadleaf forests",,,,,,,,,,,,,,,,,,,,,,
"Western Himalayan subalpine conifer forests","5575","A transitional zone (3,000 – 3,500 m) between forested Himalayan ecoregions and treeless alpine meadows and boulder-strewn screes, from Western Kashmir to eastern Uttarakhand. Conifer forests in the drier west, with blue pine, chilgoza pine, fir, silver fir, and spruce are more diverse and extensive than those in the moister eastern ranges. Seasonal, with about 1,500 mm precipitation, drier in the west with a lower treeline (3,300 m) than in the east (4,000 m). The ecoregion has pure fir forest; mixed oak-fir forest; mixed rhododendron, fir, and birch forest; and mixed coniferous forests with fir, blue pine, and spruce. Cypress and Himalayan cedar or deodar are common above 2,400 m. Himalayan Musk Deer is a flagship species here.",,"2022-07-11 14:26:05","western-himalayan-subalpine-conifer-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/western-himalayan-subalpine-conifer-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/western-himalayan-subalpine-conifer-forests/</a>",,,,,,"Mulish:200,300,regular,500,600,700,800,900,200italic,300italic,italic,500italic,600italic,700italic,800italic,900italic","Western Himalayan subalpine conifer forests",,,,,,,,,,,,,,,,,,,,,,
